hasDate,type,Long,Lat,locationName,CurrencyName,geonameID
GREGORIAN:1676-08-20:1676-08-21,accommodation,7.735,47.483888888,Liestal,Franken,2659891
GREGORIAN:1676-08-20:1678-05-08,accommodation,6.15,46.2,Genf,Reichsthaler,2660646
GREGORIAN:1676-08-20:1678-05-08,accommodation,6.15,46.2,Genf,Reichsthaler,2660646
GREGORIAN:1676-08-23:1676-08-24,accommodation,7.247222222,47.137222222,Biel,Franken,2661513
GREGORIAN:1676-08-24:1676-08-25,accommodation,7.0398,46.88,Avenches,Schweizer Batzen,2661661
GREGORIAN:1676-08-25:1676-08-26,accommodation,6.633333333,46.533333333,Lausanne,Schweizer Kreuzer,2659994
GREGORIAN:1676-08-26:1676-08-27,accommodation,6.18907,46.32135,Coppet,Schweizer Batzen,2661124
GREGORIAN:1679-07-01:1679-07-02,accommodation,1.261666666,45.834444444,Limoges,Sol,2998286
GREGORIAN:1679-07-03:1679-07-04,accommodation,1.20346,45.515,St-Yrieix-la Perche,Sol,2976546
GREGORIAN:1679-07-04:1679-07-05,accommodation,1.075555555,45.203611111,Sainte-Orse,Sol,6429597
GREGORIAN:1679-07-09:1679-07-10,accommodation,-0.243888888,44.915277777,Libourne,Sol,2998517
GREGORIAN:1679-07-11:1679-07-12,accommodation,-0.579444444,44.837777777,Bordeaux,Sol,3031582
GREGORIAN:1679-07-28:1679-07-29,accommodation,-0.528611111,44.681388888,La Brède,Sol,3010827
GREGORIAN:1679-07-29:1679-07-30,accommodation,-0.318611111,44.636111111,Cadillac,Sol,3029253
GREGORIAN:1680-02-18:1680-02-19,accommodation,-1.141666666,45.769444444,La Tremblade,Sol,300617
GREGORIAN:1680-02-21:1680-02-22,accommodation,-0.992777777,46.308333333,Marans (Charente-Maritime),Sol,2996103
GREGORIAN:1680-02-22:1680-02-23,accommodation,-1.055555555,46.556111111,Sainte-Hermine,Sol,2980541
GREGORIAN:1680-02-28:1680-02-29,accommodation,-0.9194,47.4039,Ingrandes-le-Fresne-sur-Loire,Sol,6619291
GREGORIAN:1680-03-02:1680-03-03,accommodation,-0.318888888,47.413055555,Saint-Mathurin-sur-Loire,Sol,2978197
GREGORIAN:1680-03-11:1680-03-12,accommodation,1.6,47.71667,Saint-Laurent-Nouan,Sol,2978911
GREGORIAN:1680-03-14:1680-03-15,accommodation,1.878333333,48.082222222,Artenay,Sol,3036694
GREGORIAN:1680-03-15:1680-03-16,accommodation,2.162222222,48.435,Étampes,Sol,3019459
GREGORIAN:1680-03-17: 1680-05-08,accommodation,2.352222222,48.856666666,Paris,Louis d'or,2988507
GREGORIAN:1680-05-08:1680-05-09,accommodation,2.686666666,48.945,Claye-Souilly,Sol,3024701
