nameLocation,wiki_link,geonameID/mapID,Long,Lat
Aalst,https://www.wikidata.org/wiki/Q13121,2803448,4.039166666,50.938333333
Gris,,3019216,,
Amboise,https://www.wikidata.org/wiki/Q205116,3037902,0.9825,47.411388888
Amsterdam,https://www.wikidata.org/wiki/Q727,2759794,4.893611111,52.372777777
Ancenis,https://www.wikidata.org/wiki/Q213515,3037797,-1.178333333,47.372777777
Andernach,https://www.wikidata.org/wiki/Q490058,2956206,7.401666666,50.439722222
Andilly,,3037713,,
Angers,https://www.wikidata.org/wiki/Q38380,3037656,-0.555555555,47.472777777
Antwerpen,https://www.wikidata.org/wiki/Q31467408,2803138,4.400277777,51.220555555
Arnhem,https://www.wikidata.org/wiki/Q12269651,2759661,5.91111,51.98
Artenay,https://www.wikidata.org/wiki/Q706912,3036694,1.878333333,48.082222222
Attiswil,https://www.wikidata.org/wiki/Q67257,2661692,7.6135,47.247180555
Avenches,https://www.wikidata.org/wiki/Q43236,2661661,7.0398,46.88
Azoudange,https://www.wikidata.org/wiki/Q21893,3035521,6.811944444,48.739166666
Bacharach,https://www.wikidata.org/wiki/Q523273,2953702,7.769444444,50.061111111
Basel,https://www.wikidata.org/wiki/Q78,2661604,7.590555555,47.560555555
Biskaya,https://www.wikidata.org/wiki/Q41573,2960858,-4.333333333,45.5
Beaugency,https://www.wikidata.org/wiki/Q429910,3034297,1.631666666,47.778333333
Bec d'Ambès,,3037934,,
Belle-Rive,,12005613,,
Bergerac,https://www.wikidata.org/wiki/Q187911,3033391,0.481944444,44.851111111
Biel,https://www.wikidata.org/wiki/Q1034,2661513,7.247222222,47.137222222
Bingen am Rhein,https://www.wikidata.org/wiki/Q285879,2948825,7.895,49.966944444
Birmensdorf,,2661496,,
Blaye,https://www.wikidata.org/wiki/Q202562,2967108,-0.662222222,45.127777777
Bözingen,https://www.wikidata.org/wiki/Q1020193,7669411,7.268333333,47.154166666
Bordeaux,https://www.wikidata.org/wiki/Q1479,3031582,-0.579444444,44.837777777
Bourg(-sur-Gironde),https://www.wikidata.org/wiki/Q715671,3030947,-0.557222222,45.04
Breisach am Rhein,https://www.wikidata.org/wiki/Q489911,2944800,7.58,48.028888888
Bremen,https://www.wikidata.org/wiki/Q24879,2944388,8.808888888,53.076944444
Brügge,https://www.wikidata.org/wiki/Q12994,2800931,3.224166666,51.208888888
Brunnen,,2661368,,
Brüssel,https://www.wikidata.org/wiki/Q239,2800866,4.351666666,50.846666666
Buochs,https://www.wikidata.org/wiki/Q64567,2661328,8.42068,46.97463
Buttisholz,https://www.wikidata.org/wiki/Q7132,2661300,8.094444444,47.113611111
Butzbach,https://www.wikidata.org/wiki/Q569680,2940512,8.662222222,50.436666666
Buxtehude,https://www.wikidata.org/wiki/Q14868,2940451,9.701111111,53.476944444
Cadillac,https://www.wikidata.org/wiki/Q333571,3029253,-0.318611111,44.636111111
Calais,https://www.wikidata.org/wiki/Q6454,3029162,1.855555555,50.9475
Cavernes,,3225347,,
Châlons-en-Champagne,https://www.wikidata.org/wiki/Q47135,3027487,4.364444444,48.956666666
Chantonnay,https://www.wikidata.org/wiki/Q1068905,3026823,-1.050555555,46.686944444
La Chapelle-sur-Loire,https://www.wikidata.org/wiki/Q977486,3010235,0.223888888,47.248611111
Chartres,https://www.wikidata.org/wiki/Q130272,3026467,1.488333333,48.446666666
Châtillon-en-Michaille,,3026074,,
Chaumont-sur-Loire,https://www.wikidata.org/wiki/Q635143,3025876,1.185555555,47.48
Juvelize,https://www.wikidata.org/wiki/Q21734,3012006,6.649166666,48.763333333
Chouzé-sur-Loire,https://www.wikidata.org/wiki/Q681259,3025007,0.126944444,47.236388888
Claye-Souilly,https://www.wikidata.org/wiki/Q1365831,3024701,2.686666666,48.945
Clermont-en-Argonne,https://www.wikidata.org/wiki/Q1095706,3024636,5.070833333,49.106111111
Clermont-Ferrand,https://www.wikidata.org/wiki/Q42168,3024635,3.086944444,45.779722222
Coppet,https://www.wikidata.org/wiki/Q57097,2661124,6.18907,46.32135
Delft,https://www.wikidata.org/wiki/Q33432813,2757345,4.35556,52.00667
Den Haag,https://www.wikidata.org/wiki/Q41795540,2747373,4.29861,52.07667
Deventer,https://www.wikidata.org/wiki/Q26296883,2756987,6.16,52.251111111
Dokkum,https://www.wikidata.org/wiki/Q41976,2756759,5.9989,53.3253
Donjeux,https://www.wikidata.org/wiki/Q1101648,3021090,5.155555555,48.363888888
Dordogne,,3021044,,
Duillier,https://www.wikidata.org/wiki/Q70389,7285678,6.233333333,46.416666666
Dunkerque,https://www.wikidata.org/wiki/Q45797,3020686,2.376388888,51.037777777
Durlach,https://www.wikidata.org/wiki/Q639876,2934469,8.4667,49.0
Düsseldorf,https://www.wikidata.org/wiki/Q1718,2934246,6.772380555,51.231144444
Eberstadt,https://www.wikidata.org/wiki/Q507455,2933895,9.316666666,49.183333333
Défilé de l'Écluse,,,,
Ennetmoos,https://www.wikidata.org/wiki/Q64599,7285735,8.337222222,46.956666666
Étampes,https://www.wikidata.org/wiki/Q205584,3019459,2.162222222,48.435
Étoges,https://www.wikidata.org/wiki/Q290418,3019396,3.855277777,48.879722222
Étrembières,https://www.wikidata.org/wiki/Q290880,3019364,6.225833333,46.1775
Falkenstein,,10398041,7.99202,47.37207
Fischerhude,https://www.wikidata.org/wiki/Q252834,2926522,9.05833,53.1167
Flanders,,3337388,,
Flüelen,https://www.wikidata.org/wiki/Q69665,2660751,8.623611111,46.899722222
Franeker,https://www.wikidata.org/wiki/Q41974,2755845,5.54,53.1875
Frankfurt am Main,https://www.wikidata.org/wiki/Q1794,2925533,8.682222222,50.110555555
Fritzlar,https://www.wikidata.org/wiki/Q492503,2924326,9.266666666,51.133333333
Fürstenberg,,2923640,,
Garonne,https://www.wikidata.org/wiki/Q5077,3016598,-0.6111,45.0386
Genf,https://www.wikidata.org/wiki/Q71,2660646,6.15,46.2
